team,event,course,gender,age_group,time,swimmer,date,meet,year,rank
COLM,50 M Freestyle,SCM,W,35-39,31.98,Amanda S Moyer,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Freestyle,SCM,W,35-39,1:11.12,Amanda S Moyer,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Backstroke,SCM,W,35-39,37.84,Amanda S Moyer,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Backstroke,SCM,W,35-39,1:26.37,Amanda S Moyer,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Butterfly,SCM,W,35-39,34.65,Amanda S Moyer,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Butterfly,SCM,W,35-39,1:22.71,Amanda S Moyer,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Individual Medley,SCM,W,35-39,1:22.35,Amanda S Moyer,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Breaststroke,SCM,W,40-44,39.74,Nicole M Smith,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Breaststroke,SCM,W,40-44,1:25.72,Nicole M Smith,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Butterfly,SCM,W,40-44,35.30,Nicole M Smith,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Butterfly,SCM,W,40-44,1:22.17,Nicole M Smith,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Individual Medley,SCM,W,40-44,1:25.38,Nicole M Smith,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Freestyle,SCM,W,45-49,31.31,Marcie B Alisangco,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Freestyle,SCM,W,45-49,36.13,Barbara Wilderman,,2024 South Carolina SCM State Meet,2024,2
COLM,100 M Freestyle,SCM,W,45-49,1:09.03,Marcie B Alisangco,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Freestyle,SCM,W,45-49,1:20.72,Barbara Wilderman,,2024 South Carolina SCM State Meet,2024,2
COLM,50 M Backstroke,SCM,W,45-49,38.55,Marcie B Alisangco,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Backstroke,SCM,W,45-49,41.39,Barbara Wilderman,,2024 South Carolina SCM State Meet,2024,2
COLM,100 M Backstroke,SCM,W,45-49,1:31.49,Barbara Wilderman,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Butterfly,SCM,W,45-49,34.53,Marcie B Alisangco,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Butterfly,SCM,W,45-49,1:19.21,Marcie B Alisangco,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Individual Medley,SCM,W,45-49,1:20.47,Marcie B Alisangco,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Individual Medley,SCM,W,45-49,1:22.87,Barbara Wilderman,,2024 South Carolina SCM State Meet,2024,2
COLM,200 M Individual Medley,SCM,W,45-49,2:57.95,Marcie B Alisangco,,2024 South Carolina SCM State Meet,2024,1
COLM,1500 M Freestyle,SCM,W,55-59,25:26.48,Noreen O'Donnell,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Freestyle,SCM,M,55-59,33.16,Michael Sakara,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Freestyle,SCM,M,55-59,1:13.77,Michael Sakara,,2024 South Carolina SCM State Meet,2024,1
COLM,200 M Freestyle,SCM,M,55-59,3:01.36,Michael Sakara,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Breaststroke,SCM,M,55-59,43.47,Michael Sakara,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Breaststroke,SCM,M,55-59,1:38.68,Michael Sakara,,2024 South Carolina SCM State Meet,2024,1
COLM,200 M Breaststroke,SCM,M,55-59,3:45.17,Michael Sakara,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Individual Medley,SCM,M,55-59,1:29.26,Michael Sakara,,2024 South Carolina SCM State Meet,2024,1
COLM,50 M Backstroke,SCM,M,70-74,50.18,Richard S McCain,,2024 South Carolina SCM State Meet,2024,1
COLM,200 M Backstroke,SCM,M,70-74,3:50.93,Richard S McCain,,2024 South Carolina SCM State Meet,2024,1
COLM,100 M Breaststroke,SCM,M,70-74,1:46.37,Richard S McCain,,2024 South Carolina SCM State Meet,2024,1
