team,event,course,gender,age_group,time,swimmer,date,meet,year,rank
COLM,100 Y Freestyle,SCY,M,70-74,1:05.61,Robert M Poiletman,,3rd Annual Growler Invitational,2017,1
COLM,100 Y Backstroke,SCY,M,70-74,1:20.61,Robert M Poiletman,,43rd Annual Sunbelt Meet,2017,1
COLM,100 Y Breaststroke,SCY,M,70-74,1:27.13,Robert M Poiletman,,43rd Annual Sunbelt Meet,2017,1
COLM,50 Y Butterfly,SCY,M,70-74,30.04,Robert M Poiletman,,3rd Annual Growler Invitational,2017,1
COLM,100 Y Butterfly,SCY,M,70-74,1:07.15,Robert M Poiletman,,43rd Annual Sunbelt Meet,2017,1
COLM,200 Y Butterfly,SCY,M,70-74,2:50.51,Robert M Poiletman,,3rd Annual Growler Invitational,2017,1
COLM,200 Y Individual Medley,SCY,M,70-74,2:50.96,Robert M Poiletman,,43rd Annual Sunbelt Meet,2017,1
