team,event,course,gender,age_group,time,swimmer,date,meet,year,rank
COLM,50 M Butterfly,LCM,M,70-74,32.84,Robert M Poiletman,,2016 SC LCM Championships ~ Shut Up &amp; Swim Roy Dessloch Invitational,2016,1
COLM,200 M Butterfly,LCM,M,70-74,3:37.91,Robert M Poiletman,,2016 SC LCM Championships ~ Shut Up &amp; Swim Roy Dessloch Invitational,2016,1
