team,event,course,gender,age_group,time,swimmer,date,meet,year,rank
COLM,50 Y Freestyle,SCY,M,50-54,28.71,Michael Sakara,,6th Annual Growler Invitational,2020,1
COLM,100 Y Freestyle,SCY,M,50-54,1:04.85,Michael Sakara,,6th Annual Growler Invitational,2020,1
COLM,50 Y Breaststroke,SCY,M,50-54,40.76,Michael Sakara,,6th Annual Growler Invitational,2020,1
COLM,100 Y Breaststroke,SCY,M,50-54,1:29.73,Michael Sakara,,6th Annual Growler Invitational,2020,1
COLM,200 Y Breaststroke,SCY,M,50-54,3:20.14,Michael Sakara,,6th Annual Growler Invitational,2020,1
COLM,50 Y Butterfly,SCY,M,50-54,35.32,Michael Sakara,,6th Annual Growler Invitational,2020,1
COLM,100 Y Butterfly,SCY,M,50-54,1:28.04,Michael Sakara,,46th Annual Sunbelt Meet,2020,1
COLM,100 Y Individual Medley,SCY,M,50-54,1:17.86,Michael Sakara,,6th Annual Growler Invitational,2020,1
