team,event,course,gender,age_group,time,swimmer,date,meet,year,rank
COLM,50 Y Freestyle,SCY,W,25-29,34.85,Veronica L McCumber,,25th Annual Valentine's Meet,2016,1
COLM,100 Y Freestyle,SCY,W,25-29,1:16.18,Veronica L McCumber,,25th Annual Valentine's Meet,2016,1
COLM,200 Y Freestyle,SCY,W,25-29,2:49.12,Veronica L McCumber,,25th Annual Valentine's Meet,2016,1
COLM,500 Y Freestyle,SCY,W,25-29,7:46.37,Veronica L McCumber,,25th Annual Valentine's Meet,2016,1
COLM,100 Y Backstroke,SCY,W,25-29,1:27.17,Veronica L McCumber,,25th Annual Valentine's Meet,2016,1
COLM,100 Y Individual Medley,SCY,W,25-29,1:35.38,Veronica L McCumber,,25th Annual Valentine's Meet,2016,1
COLM,50 Y Butterfly,SCY,M,70-74,30.07,Robert M Poiletman,,Growler Invitational,2016,1
COLM,100 Y Butterfly,SCY,M,70-74,1:06.29,Robert M Poiletman,,2016 SUNBELT MASTERS MEET,2016,1
COLM,200 Y Butterfly,SCY,M,70-74,2:47.63,Robert M Poiletman,,Growler Invitational,2016,1
