team,event,course,gender,age_group,time,swimmer,date,meet,year,rank
COLM,50 M Freestyle,SCM,W,25-29,28.39,Cassidy L Bayer,,2025 South Carolina SCM State Meet,2025,1
COLM,200 M Freestyle,SCM,W,25-29,2:14.01,Cassidy L Bayer,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Individual Medley,SCM,W,25-29,1:08.99,Cassidy L Bayer,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Breaststroke,SCM,W,35-39,1:32.45,Amanda S Moyer,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Butterfly,SCM,W,35-39,33.75,Amanda S Moyer,,2025 South Carolina SCM State Meet,2025,1
COLM,200 M Butterfly,SCM,W,35-39,3:00.55,Amanda S Moyer,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Individual Medley,SCM,W,35-39,1:21.96,Amanda S Moyer,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Freestyle,SCM,W,45-49,30.81,Marcie B Alisangco,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Freestyle,SCM,W,45-49,37.97,Karen Fitch,,2025 South Carolina SCM State Meet,2025,2
COLM,100 M Freestyle,SCM,W,45-49,1:08.99,Marcie B Alisangco,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Freestyle,SCM,W,45-49,1:22.48,Karen Fitch,,2025 South Carolina SCM State Meet,2025,2
COLM,200 M Freestyle,SCM,W,45-49,2:32.89,Marcie B Alisangco,,2025 South Carolina SCM State Meet,2025,1
COLM,200 M Freestyle,SCM,W,45-49,3:09.08,Karen Fitch,,2025 South Carolina SCM State Meet,2025,2
COLM,400 M Freestyle,SCM,W,45-49,6:37.70,Karen Fitch,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Breaststroke,SCM,W,45-49,52.03,Karen Fitch,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Breaststroke,SCM,W,45-49,1:31.48,Marcie B Alisangco,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Butterfly,SCM,W,45-49,33.70,Marcie B Alisangco,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Butterfly,SCM,W,45-49,1:19.98,Marcie B Alisangco,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Individual Medley,SCM,W,45-49,1:41.14,Karen Fitch,,2025 South Carolina SCM State Meet,2025,1
COLM,200 M Individual Medley,SCM,W,45-49,2:56.31,Marcie B Alisangco,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Freestyle,SCM,W,65-69,38.83,Patricia Graham,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Freestyle,SCM,W,65-69,1:33.69,Patricia Graham,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Backstroke,SCM,W,65-69,54.09,Patricia Graham,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Backstroke,SCM,W,65-69,1:58.96,Patricia Graham,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Breaststroke,SCM,W,65-69,55.91,Patricia Graham,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Individual Medley,SCM,W,65-69,1:58.05,Patricia Graham,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Backstroke,SCM,M,25-29,28.98,Parker R Whitley,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Individual Medley,SCM,M,25-29,1:05.73,Parker R Whitley,,2025 South Carolina SCM State Meet,2025,1
