team,event,course,gender,age_group,time,swimmer,date,meet,year,rank
COLM,50 M Freestyle,SCM,M,45-49,27.10,Jeremy C Stiles,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Freestyle,SCM,M,45-49,59.28,Jeremy C Stiles,,2025 South Carolina SCM State Meet,2025,1
COLM,1500 M Freestyle,SCM,M,45-49,21:33.22,jimi adams,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Breaststroke,SCM,M,45-49,1:18.27,Jeremy C Stiles,,2025 South Carolina SCM State Meet,2025,1
COLM,200 M Breaststroke,SCM,M,45-49,2:50.81,Jeremy C Stiles,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Butterfly,SCM,M,45-49,29.54,Jeremy C Stiles,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Individual Medley,SCM,M,45-49,1:08.77,Jeremy C Stiles,,2025 South Carolina SCM State Meet,2025,1
COLM,200 M Individual Medley,SCM,M,45-49,2:32.42,Jeremy C Stiles,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Freestyle,SCM,M,50-54,30.49,Kerstan P Kranker,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Freestyle,SCM,M,50-54,1:07.39,Kerstan P Kranker,,2025 South Carolina SCM State Meet,2025,1
COLM,200 M Freestyle,SCM,M,50-54,2:35.26,Kerstan P Kranker,,2025 South Carolina SCM State Meet,2025,1
COLM,400 M Freestyle,SCM,M,50-54,5:35.03,Kerstan P Kranker,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Backstroke,SCM,M,50-54,35.82,Kerstan P Kranker,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Backstroke,SCM,M,50-54,1:21.15,Kerstan P Kranker,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Breaststroke,SCM,M,50-54,42.29,Kerstan P Kranker,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Butterfly,SCM,M,50-54,32.25,Kerstan P Kranker,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Freestyle,SCM,M,55-59,32.28,Michael Sakara,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Freestyle,SCM,M,55-59,1:14.55,Michael Sakara,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Breaststroke,SCM,M,55-59,45.61,Michael Sakara,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Breaststroke,SCM,M,55-59,1:42.26,Michael Sakara,,2025 South Carolina SCM State Meet,2025,1
COLM,50 M Butterfly,SCM,M,55-59,39.24,Michael Sakara,,2025 South Carolina SCM State Meet,2025,1
COLM,100 M Individual Medley,SCM,M,55-59,1:33.86,Michael Sakara,,2025 South Carolina SCM State Meet,2025,1
